"","timestamp","type","sourceID","targetID","abilityGameID","fight","buffs","hitType","amount","mitigated","unmitigatedAmount","absorbed","tick","targetMarker","overkill","logID","sourceMarker"
"1",11916560,"damage",399,249,70911,41,"25228.47241.48942.63944.",1,0,77,998,921,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"2",11917549,"damage",399,249,70911,41,"25228.47241.48942.63944.",1,0,97,1248,1151,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"3",11918543,"damage",399,249,70911,41,"25228.47241.48942.63944.",1,0,122,1560,1438,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"4",11919556,"damage",399,249,70911,41,"25228.47241.48942.63944.",1,0,152,1950,1798,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"5",11920571,"damage",399,249,70911,41,"25228.47241.48942.63944.",1,0,191,2438,2247,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"6",11921548,"damage",399,249,70911,41,"25228.47241.48942.63944.",1,1131,521,3047,1395,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"7",11922559,"damage",399,249,70911,41,"25228.47241.48942.63944.",1,2809,1000,3809,NA,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"8",11923568,"damage",399,249,70911,41,"25228.47241.48942.63944.",1,3511,1251,4762,NA,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"9",11924563,"damage",399,249,70911,41,"25228.47241.48942.63944.",1,0,467,5953,5486,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"10",11925555,"damage",399,249,70911,41,"25228.47241.48942.63944.",1,3026,1340,7441,3075,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"11",11926575,"damage",399,249,70911,41,"25228.47241.48942.15359.63944.",1,4768,1922,9301,2611,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"12",11927560,"damage",399,249,70911,41,"25228.47241.48942.15359.63944.",1,7769,2854,11626,1003,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"13",11928563,"damage",399,249,70911,41,"25228.47241.48942.15359.63944.",1,10714,3819,14533,NA,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"14",11929580,"damage",399,281,70911,41,"48942.63944.",1,451,48,998,499,TRUE,NA,NA,"aNywcjb7KXZq6tRC",NA
"15",11930570,"damage",399,281,70911,41,"48942.63944.",1,1187,61,1248,NA,TRUE,NA,NA,"aNywcjb7KXZq6tRC",NA
"16",11931569,"damage",399,281,70911,41,"48942.63944.",1,1483,77,1560,NA,TRUE,NA,NA,"aNywcjb7KXZq6tRC",NA
"17",11932576,"damage",399,281,70911,41,"48942.63944.",1,1855,95,1950,NA,TRUE,NA,NA,"aNywcjb7KXZq6tRC",NA
"18",11933567,"damage",399,281,70911,41,"48942.63944.",1,2318,120,2438,NA,TRUE,NA,NA,"aNywcjb7KXZq6tRC",NA
"19",11934567,"damage",399,281,70911,41,"48942.63944.",1,0,150,3047,2897,TRUE,NA,NA,"aNywcjb7KXZq6tRC",NA
"20",11935575,"damage",399,290,70911,41,"48942.63944.",1,0,30,998,968,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"21",11936574,"damage",399,290,70911,41,"48942.63944.",1,154,37,1248,1057,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"22",11937572,"damage",399,290,70911,41,"48942.63944.",1,1514,46,1560,NA,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"23",11938588,"damage",399,290,70911,41,"48942.63944.",1,1892,58,1950,NA,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"24",11939572,"damage",399,290,70911,41,"48942.63944.",1,2365,73,2438,NA,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"25",11940590,"damage",399,290,70911,41,"48942.63944.",1,2957,90,3047,NA,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"26",11941585,"damage",399,290,70911,41,"48942.63944.",1,3695,114,3809,NA,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"27",11942577,"damage",399,290,70911,41,"48942.63944.",1,4620,142,4762,NA,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"28",11943591,"damage",399,159,70911,41,"48942.49222.63944.",1,0,223,998,775,TRUE,NA,NA,"aNywcjb7KXZq6tRC",NA
"29",11944604,"damage",399,293,70911,41,"53601.53762.48942.67378.63944.",1,0,168,998,830,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
"30",11945597,"damage",399,293,70911,41,"53601.53762.48942.67378.63944.",1,0,210,1248,1038,TRUE,3,NA,"aNywcjb7KXZq6tRC",NA
