"","timestamp","type","sourceID","targetID","abilityGameID","fight","buffs","hitType","amount","unmitigatedAmount","absorbed","tick","targetMarker","mitigated","overkill","logID","sourceMarker","sourceInstance"
"1",4216352,"damage",116,14,70911,22,"63944.47440.",1,0,248,266,TRUE,3,NA,NA,"drBgwMQcvPaYt48A",NA,NA
"2",4217361,"damage",116,14,70911,22,"63944.47440.",1,0,310,333,TRUE,3,NA,NA,"drBgwMQcvPaYt48A",NA,NA
"3",4218344,"damage",116,14,70911,22,"63944.47440.",1,0,388,416,TRUE,3,NA,NA,"drBgwMQcvPaYt48A",NA,NA
"4",4219368,"damage",116,14,70911,22,"63944.47440.",1,0,485,519,TRUE,3,NA,NA,"drBgwMQcvPaYt48A",NA,NA
"5",4220355,"damage",116,14,70911,22,"63944.47440.",1,649,607,NA,TRUE,3,NA,NA,"drBgwMQcvPaYt48A",NA,NA
"6",4221364,"damage",116,14,70911,22,"63944.47440.",1,0,759,812,TRUE,3,NA,NA,"drBgwMQcvPaYt48A",NA,NA
"7",4222361,"damage",116,14,70911,22,"63944.47440.",1,1015,948,NA,TRUE,3,NA,NA,"drBgwMQcvPaYt48A",NA,NA
"8",4223361,"damage",116,14,70911,22,"63944.47440.",1,1268,1186,NA,TRUE,3,NA,NA,"drBgwMQcvPaYt48A",NA,NA
"9",4224368,"damage",116,14,70911,22,"63944.47440.",1,89,1482,1497,TRUE,3,NA,NA,"drBgwMQcvPaYt48A",NA,NA
"10",4225375,"damage",116,14,70911,22,"63944.47440.",1,0,1853,1982,TRUE,3,NA,NA,"drBgwMQcvPaYt48A",NA,NA
"11",4226359,"damage",116,14,70911,22,"63944.47440.",1,2478,2316,NA,TRUE,3,NA,NA,"drBgwMQcvPaYt48A",NA,NA
"12",4227372,"damage",116,17,70911,22,"63944.47440.",1,0,248,205,TRUE,NA,43,NA,"drBgwMQcvPaYt48A",NA,NA
"13",4228381,"damage",116,17,70911,22,"63944.47440.",1,0,310,256,TRUE,NA,54,NA,"drBgwMQcvPaYt48A",NA,NA
"14",4229370,"damage",116,17,70911,22,"63944.47440.",1,311,388,10,TRUE,NA,67,NA,"drBgwMQcvPaYt48A",NA,NA
"15",4230363,"damage",116,17,70911,22,"63944.47440.",1,401,485,NA,TRUE,NA,84,NA,"drBgwMQcvPaYt48A",NA,NA
"16",4231367,"damage",116,17,70911,22,"63944.47440.",1,501,607,NA,TRUE,NA,106,NA,"drBgwMQcvPaYt48A",NA,NA
"17",4232367,"damage",116,17,70911,22,"63944.47440.",1,0,759,626,TRUE,NA,133,NA,"drBgwMQcvPaYt48A",NA,NA
"18",4233369,"damage",116,17,70911,22,"63944.47440.",1,0,948,783,TRUE,NA,165,NA,"drBgwMQcvPaYt48A",NA,NA
"19",4234371,"damage",116,17,70911,22,"63944.47440.",1,0,1186,978,TRUE,NA,208,NA,"drBgwMQcvPaYt48A",NA,NA
"20",4235368,"damage",116,17,70911,22,"63944.47440.",1,0,1482,1222,TRUE,NA,260,NA,"drBgwMQcvPaYt48A",NA,NA
"21",4236384,"damage",116,17,70911,22,"63944.47440.",1,0,1853,1529,TRUE,NA,324,NA,"drBgwMQcvPaYt48A",NA,NA
"22",4237367,"damage",116,17,70911,22,"63944.47440.",1,0,2316,1910,TRUE,NA,406,NA,"drBgwMQcvPaYt48A",NA,NA
"23",4238375,"damage",116,17,70911,22,"63944.47440.",1,2388,2895,NA,TRUE,NA,507,NA,"drBgwMQcvPaYt48A",NA,NA
"24",4239368,"damage",116,17,70911,22,"63944.47440.",1,2984,3619,NA,TRUE,NA,635,NA,"drBgwMQcvPaYt48A",NA,NA
"25",4240354,"damage",116,17,70911,22,"63944.47440.",1,3730,4524,NA,TRUE,NA,794,NA,"drBgwMQcvPaYt48A",NA,NA
"26",4241359,"damage",116,17,70911,22,"63944.47440.",1,4664,5655,NA,TRUE,NA,991,NA,"drBgwMQcvPaYt48A",NA,NA
"27",4242374,"damage",116,17,70911,22,"63944.47440.",1,5830,7069,NA,TRUE,NA,1239,NA,"drBgwMQcvPaYt48A",NA,NA
"28",4243367,"damage",116,17,70911,22,"63944.47440.",1,7286,8837,NA,TRUE,NA,1551,NA,"drBgwMQcvPaYt48A",NA,NA
"29",4244378,"damage",116,17,70911,22,"63944.47440.",1,5214,11046,NA,TRUE,NA,1938,3894,"drBgwMQcvPaYt48A",NA,NA
"30",4369098,"damage",116,7,70911,22,"63944.",1,0,248,227,TRUE,3,21,NA,"drBgwMQcvPaYt48A",NA,NA
"31",4370082,"damage",116,7,70911,22,"63944.",1,0,310,283,TRUE,3,27,NA,"drBgwMQcvPaYt48A",NA,NA
"32",4371083,"damage",116,7,70911,22,"63944.",1,0,388,354,TRUE,3,34,NA,"drBgwMQcvPaYt48A",NA,NA
"33",4372098,"damage",116,7,70911,22,"63944.",1,0,485,443,TRUE,3,42,NA,"drBgwMQcvPaYt48A",NA,NA
"34",4373107,"damage",116,7,70911,22,"63944.",1,0,607,554,TRUE,3,53,NA,"drBgwMQcvPaYt48A",NA,NA
"35",4374097,"damage",116,7,70911,22,"63944.",1,321,759,371,TRUE,3,67,NA,"drBgwMQcvPaYt48A",NA,NA
